iteration,dataset,time,converged_at
0,iris,0.073478,4
1,iris,0.041002,2
2,iris,0.012037,2
3,iris,0.000053,2
4,iris,0.000075,3
5,iris,0.000204,11
6,iris,0.003046,4
7,iris,0.000371,13
8,iris,0.006027,10
9,iris,0.000216,12
10,iris,0.000064,3
11,iris,0.000049,2
12,iris,0.000080,4
13,iris,0.000048,2
14,iris,0.000113,6
15,iris,0.000080,4
16,iris,0.000068,3
17,iris,0.000092,4
18,iris,0.000195,10
19,iris,0.003182,9
20,iris,0.003880,3
21,iris,0.000103,3
22,iris,0.007099,4
23,iris,0.000072,3
24,iris,0.000107,5
25,iris,0.000139,7
26,iris,0.000069,3
27,iris,0.000099,4
28,iris,0.000255,12
29,iris,0.000118,5
