iteration,dataset,time,converged_at
0,rice,0.174021,11
1,rice,0.102154,9
2,rice,0.000437,6
3,rice,0.000375,4
4,rice,0.000959,10
5,rice,0.000990,7
6,rice,0.001993,6
7,rice,0.002802,11
8,rice,0.000634,8
9,rice,0.001260,11
10,rice,0.003354,10
11,rice,0.000759,11
12,rice,0.000947,12
13,rice,0.000542,7
14,rice,0.000589,8
15,rice,0.001301,7
16,rice,0.000769,8
17,rice,0.001353,12
18,rice,0.000737,8
19,rice,0.000776,9
20,rice,0.000675,7
21,rice,0.000779,7
22,rice,0.000736,7
23,rice,0.006433,7
24,rice,0.000612,8
25,rice,0.002766,11
26,rice,0.005964,7
27,rice,0.001146,12
28,rice,0.000981,11
29,rice,0.000926,10
