iteration,dataset,time,converged_at
0,wesad,0.702265,9
1,wesad,0.729664,10
2,wesad,0.785813,11
3,wesad,0.920216,12
4,wesad,0.869014,10
5,wesad,0.945639,12
6,wesad,0.743337,10
7,wesad,1.013489,12
8,wesad,1.047299,13
9,wesad,1.081340,12
10,wesad,0.796268,10
11,wesad,1.047646,12
12,wesad,0.808360,11
13,wesad,0.965780,14
14,wesad,0.794485,10
15,wesad,0.862469,11
16,wesad,0.860495,13
17,wesad,0.867655,12
18,wesad,0.735347,10
19,wesad,0.930860,11
20,wesad,1.003329,13
21,wesad,0.841098,10
22,wesad,0.670461,9
23,wesad,0.693071,10
24,wesad,0.853674,13
25,wesad,0.976011,14
26,wesad,0.818655,11
27,wesad,0.785381,10
28,wesad,0.597749,8
29,wesad,0.967771,12
