iteration,dataset,time,converged_at
0,htru2,0.016442,29
1,htru2,0.015071,27
2,htru2,0.013949,25
3,htru2,0.017165,31
4,htru2,0.017161,31
5,htru2,0.016455,29
6,htru2,0.015017,27
7,htru2,0.009729,17
8,htru2,0.014476,26
9,htru2,0.016129,29
10,htru2,0.016605,30
11,htru2,0.018218,33
12,htru2,0.011764,21
13,htru2,0.015552,28
14,htru2,0.012844,23
15,htru2,0.017104,31
16,htru2,0.015492,28
17,htru2,0.014176,25
18,htru2,0.016094,29
19,htru2,0.017141,31
20,htru2,0.018396,29
21,htru2,0.017194,31
22,htru2,0.017832,31
23,htru2,0.015673,28
24,htru2,0.018298,33
25,htru2,0.015463,28
26,htru2,0.018760,34
27,htru2,0.014575,26
28,htru2,0.005899,10
29,htru2,0.009115,16
