iteration,dataset,time,converged_at
0,iris,0.000063,10
1,iris,0.000027,4
2,iris,0.000033,6
3,iris,0.000032,5
4,iris,0.000046,9
5,iris,0.000024,4
6,iris,0.000062,11
7,iris,0.000058,12
8,iris,0.000024,4
9,iris,0.000033,6
10,iris,0.000033,6
11,iris,0.000024,4
12,iris,0.000050,10
13,iris,0.000037,7
14,iris,0.000067,14
15,iris,0.000037,7
16,iris,0.000020,3
17,iris,0.000020,3
18,iris,0.000028,5
19,iris,0.000024,4
20,iris,0.000016,2
21,iris,0.000028,5
22,iris,0.000016,2
23,iris,0.000016,2
24,iris,0.000046,9
25,iris,0.000024,4
26,iris,0.000016,2
27,iris,0.000028,5
28,iris,0.000024,4
29,iris,0.000029,5
