iteration,dataset,time,converged_at
0,wesad,2.301819,11
1,wesad,2.040319,9
2,wesad,2.150838,10
3,wesad,2.837740,13
4,wesad,2.349549,11
5,wesad,2.460056,12
6,wesad,2.109901,10
7,wesad,2.082192,10
8,wesad,1.903783,9
9,wesad,2.757010,13
10,wesad,2.498807,12
11,wesad,2.067379,10
12,wesad,1.915645,9
13,wesad,2.106092,10
14,wesad,2.776826,12
15,wesad,1.794615,8
16,wesad,2.103731,10
17,wesad,2.776357,13
18,wesad,2.073869,10
19,wesad,2.261091,11
20,wesad,2.620616,13
21,wesad,2.467315,12
22,wesad,2.321868,11
23,wesad,3.105260,15
24,wesad,2.849791,13
25,wesad,2.569695,11
26,wesad,2.296448,10
27,wesad,2.407085,11
28,wesad,2.112360,9
29,wesad,3.312046,14
