iteration,dataset,time,converged_at
0,htru2,0.116949,32
1,htru2,0.134817,31
2,htru2,0.071672,21
3,htru2,0.091798,27
4,htru2,0.087736,26
5,htru2,0.092107,27
6,htru2,0.043667,12
7,htru2,0.059086,17
8,htru2,0.111748,31
9,htru2,0.111263,32
10,htru2,0.103672,30
11,htru2,0.042838,12
12,htru2,0.096815,28
13,htru2,0.114395,33
14,htru2,0.088015,26
15,htru2,0.088432,26
16,htru2,0.094500,28
17,htru2,0.101973,30
18,htru2,0.105361,31
19,htru2,0.111326,33
20,htru2,0.111695,33
21,htru2,0.098141,29
22,htru2,0.111716,33
23,htru2,0.053247,15
24,htru2,0.114674,34
25,htru2,0.098152,29
26,htru2,0.105294,31
27,htru2,0.087947,26
28,htru2,0.095316,28
29,htru2,0.111827,33
