iteration,dataset,time,converged_at
0,iris,0.000361,15
1,iris,0.000069,2
2,iris,0.000154,6
3,iris,0.000280,12
4,iris,0.000223,9
5,iris,0.000133,5
6,iris,0.000091,3
7,iris,0.000111,4
8,iris,0.000179,7
9,iris,0.000119,4
10,iris,0.000154,6
11,iris,0.000255,10
12,iris,0.000156,6
13,iris,0.000113,4
14,iris,0.000159,6
15,iris,0.000164,6
16,iris,0.000138,5
17,iris,0.000187,7
18,iris,0.000249,10
19,iris,0.000113,4
20,iris,0.000268,11
21,iris,0.000270,11
22,iris,0.000096,3
23,iris,0.000071,2
24,iris,0.000156,6
25,iris,0.000169,6
26,iris,0.000246,10
27,iris,0.000093,3
28,iris,0.000179,7
29,iris,0.000246,10
