iteration,dataset,time,converged_at
0,htru2,0.006527,22
1,htru2,0.003123,12
2,htru2,0.009999,30
3,htru2,0.010099,32
4,htru2,0.014631,32
5,htru2,0.003996,11
6,htru2,0.011027,33
7,htru2,0.020554,29
8,htru2,0.032294,33
9,htru2,0.022882,30
10,htru2,0.034490,34
11,htru2,0.020541,30
12,htru2,0.022282,28
13,htru2,0.013144,31
14,htru2,0.016189,31
15,htru2,0.021656,33
16,htru2,0.019650,29
17,htru2,0.013047,28
18,htru2,0.003506,14
19,htru2,0.013903,31
20,htru2,0.011031,19
21,htru2,0.016132,33
22,htru2,0.012932,32
23,htru2,0.005952,26
24,htru2,0.010774,30
25,htru2,0.008192,32
26,htru2,0.008728,31
27,htru2,0.005070,24
28,htru2,0.005427,25
29,htru2,0.010121,28
