iteration,dataset,time,converged_at
0,iris,0.119910,7
1,iris,0.007626,7
2,iris,0.000100,5
3,iris,0.000079,4
4,iris,0.000206,12
5,iris,0.000066,3
6,iris,0.000141,8
7,iris,0.000215,13
8,iris,0.000065,3
9,iris,0.000081,4
10,iris,0.000209,11
11,iris,0.000157,9
12,iris,0.000054,2
13,iris,0.000160,9
14,iris,0.000079,4
15,iris,0.000112,6
16,iris,0.000199,10
17,iris,0.000155,8
18,iris,0.000088,4
19,iris,0.000155,8
20,iris,0.000192,10
21,iris,0.000089,4
22,iris,0.000105,5
23,iris,0.000126,6
24,iris,0.000135,6
25,iris,0.000117,5
26,iris,0.000075,2
27,iris,0.000138,6
28,iris,0.000805,5
29,iris,0.000193,7
