iteration,dataset,time,converged_at
0,wesad,0.863361,12
1,wesad,0.386749,7
2,wesad,0.561895,11
3,wesad,0.626862,12
4,wesad,0.553754,11
5,wesad,0.495985,8
6,wesad,0.602050,10
7,wesad,0.951677,14
8,wesad,0.545816,11
9,wesad,0.595913,11
10,wesad,0.670606,11
11,wesad,0.795047,15
12,wesad,0.878252,17
13,wesad,0.725216,14
14,wesad,0.625420,11
15,wesad,0.668509,11
16,wesad,0.798834,15
17,wesad,0.626065,11
18,wesad,0.691942,13
19,wesad,0.623840,10
20,wesad,0.535501,10
21,wesad,0.737680,12
22,wesad,0.574552,11
23,wesad,0.646218,11
24,wesad,0.598978,11
25,wesad,0.573372,11
26,wesad,0.452743,8
27,wesad,0.754092,13
28,wesad,0.588754,12
29,wesad,0.733150,14
