iteration,dataset,time,converged_at
0,htru2,0.145600,34
1,htru2,0.113190,32
2,htru2,0.093720,27
3,htru2,0.052640,15
4,htru2,0.110985,32
5,htru2,0.100791,29
6,htru2,0.063335,18
7,htru2,0.104183,30
8,htru2,0.105024,30
9,htru2,0.084996,24
10,htru2,0.113685,32
11,htru2,0.090481,25
12,htru2,0.116858,33
13,htru2,0.117232,33
14,htru2,0.094815,27
15,htru2,0.112184,32
16,htru2,0.097081,28
17,htru2,0.114664,33
18,htru2,0.117299,34
19,htru2,0.089903,26
20,htru2,0.114410,33
21,htru2,0.107724,31
22,htru2,0.107516,31
23,htru2,0.114813,33
24,htru2,0.099916,29
25,htru2,0.108326,31
26,htru2,0.104390,30
27,htru2,0.107639,31
28,htru2,0.089929,26
29,htru2,0.108087,31
