iteration,dataset,time,converged_at
0,iris,0.002264,4
1,iris,0.005062,10
2,iris,0.001880,4
3,iris,0.001992,5
4,iris,0.003461,7
5,iris,0.002759,5
6,iris,0.003371,6
7,iris,0.002906,6
8,iris,0.001084,2
9,iris,0.000887,2
10,iris,0.002267,5
11,iris,0.001702,3
12,iris,0.002407,5
13,iris,0.001877,4
14,iris,0.002760,7
15,iris,0.001651,3
16,iris,0.002259,5
17,iris,0.002376,5
18,iris,0.003661,8
19,iris,0.001995,4
20,iris,0.002056,5
21,iris,0.002995,7
22,iris,0.001585,4
23,iris,0.002789,7
24,iris,0.002215,5
25,iris,0.002374,5
26,iris,0.003140,8
27,iris,0.001327,3
28,iris,0.003580,7
29,iris,0.002774,5
