iteration,dataset,time,converged_at
0,wesad,12.227026,14
1,wesad,9.837119,12
2,wesad,9.340354,11
3,wesad,9.944751,12
4,wesad,10.787055,13
5,wesad,6.349709,7
6,wesad,34.240200,38
7,wesad,11.747332,13
8,wesad,39.727978,44
9,wesad,7.407667,8
10,wesad,14.620514,13
11,wesad,10.494836,9
12,wesad,32.765079,40
13,wesad,7.701357,9
14,wesad,8.975945,10
15,wesad,9.813887,10
16,wesad,15.141043,18
17,wesad,8.968452,10
18,wesad,12.993127,13
19,wesad,39.494713,37
20,wesad,15.506743,12
21,wesad,12.914664,10
22,wesad,15.705382,16
23,wesad,10.331952,11
24,wesad,9.414741,11
25,wesad,9.181591,10
26,wesad,11.019206,11
27,wesad,7.409381,8
28,wesad,8.947866,10
29,wesad,32.309242,38
