iteration,dataset,time,converged_at
0,htru2,0.078131,30
1,htru2,0.034208,12
2,htru2,0.070984,27
3,htru2,0.084077,30
4,htru2,0.077158,29
5,htru2,0.072808,28
6,htru2,0.066719,26
7,htru2,0.077572,31
8,htru2,0.070699,29
9,htru2,0.077291,32
10,htru2,0.079943,32
11,htru2,0.059168,24
12,htru2,0.032672,13
13,htru2,0.066398,28
14,htru2,0.071520,31
15,htru2,0.071776,31
16,htru2,0.071791,31
17,htru2,0.077424,28
18,htru2,0.080165,30
19,htru2,0.071716,28
20,htru2,0.082388,33
21,htru2,0.063882,26
22,htru2,0.074050,31
23,htru2,0.071269,30
24,htru2,0.040870,17
25,htru2,0.072071,30
26,htru2,0.048379,20
27,htru2,0.067646,29
28,htru2,0.071866,31
29,htru2,0.045171,19
