iteration,dataset,time,converged_at
0,iris,0.000035,6
1,iris,0.000044,9
2,iris,0.000044,9
3,iris,0.000043,9
4,iris,0.000019,3
5,iris,0.000019,3
6,iris,0.000035,7
7,iris,0.000035,7
8,iris,0.000031,6
9,iris,0.000027,5
10,iris,0.000040,8
11,iris,0.000035,7
12,iris,0.000024,4
13,iris,0.000031,4
14,iris,0.000026,4
15,iris,0.000027,5
16,iris,0.000019,3
17,iris,0.000060,13
18,iris,0.000024,4
19,iris,0.000052,11
20,iris,0.000027,5
21,iris,0.000031,6
22,iris,0.000031,6
23,iris,0.000036,7
24,iris,0.000023,4
25,iris,0.000035,7
26,iris,0.000027,5
27,iris,0.000023,4
28,iris,0.000023,4
29,iris,0.000027,5
