iteration,dataset,time,converged_at
0,wesad,3.774534,41
1,wesad,3.722509,41
2,wesad,3.996987,43
3,wesad,0.979765,10
4,wesad,0.986750,10
5,wesad,0.993897,10
6,wesad,1.032591,10
7,wesad,0.997920,9
8,wesad,0.984831,10
9,wesad,1.359591,14
10,wesad,3.435848,37
11,wesad,0.983005,10
12,wesad,0.887468,9
13,wesad,1.008579,10
14,wesad,1.072145,11
15,wesad,1.321550,13
16,wesad,0.961572,9
17,wesad,1.076954,10
18,wesad,0.782220,7
19,wesad,1.007947,10
20,wesad,0.895360,9
21,wesad,1.370326,11
22,wesad,1.301760,11
23,wesad,2.283724,22
24,wesad,1.199203,9
25,wesad,1.464124,11
26,wesad,3.904288,38
27,wesad,1.006496,10
28,wesad,3.773752,38
29,wesad,1.495731,15
